"track_name","artist_name","track_uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature"
"You're My Everything","John Park","7N1rnCmbNyPPhf1ZBvfen3",0.43,0.246,7,-8.899,0,0.0319,0.877,0,0.14,0.264,143.346,322659,4
"I pray","Motte","0LBG7GmTBRPRfDPXaG3VzS",0.515,0.381,2,-6.872,1,0.037,0.645,0,0.097,0.349,83.556,227936,4
"SHALALA","S.I.S.","38Kdq8UHGBuUSJ84ywZOYm",0.565,0.921,9,-1.903,0,0.146,0.405,0,0.102,0.747,180.054,196293,4
"Perhaps Love","Eddy Kim","2HK3hQQAXCXCrD3kHAs6cl",0.479,0.602,2,-4.328,1,0.0266,0.472,0,0.122,0.23,145.022,293435,4
"Princess Maker","Cheon Dan Bi","1QaiX4Yi6W8d8QtUm8ft3P",0.753,0.68,3,-4.713,1,0.084,0.419,0,0.349,0.828,139.912,209000,4
"I Can't Say It's Only You","Kevin Oh","1CPKOI5FqD5a6xPGkbwToX",0.534,0.321,0,-9.361,1,0.0315,0.623,2.67e-06,0.121,0.14,135.943,248684,4
"I Want To Know You","Stella Jang","57uAubKnXuFEqX8fDkIL0J",0.521,0.319,11,-11.376,1,0.0283,0.539,3.61e-05,0.277,0.115,74.022,285365,4
"The Day We Met","CHEEZE","6fvdgaXO0fr8MZOnCF8vX0",0.392,0.243,1,-9.289,1,0.0341,0.96,0.00099,0.118,0.159,146.029,234633,4
"I Will Go To You Like the First Snow","AILEE","2BPXILn0MqOe5WroVXlvN1",0.497,0.431,5,-4.755,0,0.0287,0.66,0,0.153,0.167,133.675,229678,4
"Cleaning","CRYING NUT","49V1hU7FgfNunQV0ixSIDh",0.652,0.801,9,-3.234,1,0.0382,0.0468,0,0.0923,0.798,100.035,183344,4
"Fighter (feat. La.Q)","Jung Dong Ha","1CsKWfSwvPjfimhFCGOeLr",0.49,0.959,5,-3.294,0,0.151,0.0086,0,0.368,0.164,146.018,176745,4
"낮은 목소리","JAMIE","29JyOcczeYHj86bXHP9Pyn",0.586,0.751,5,-3.322,0,0.0375,0.562,0,0.151,0.584,144.805,202433,4
"Cosmos","Huh Gak","3Ukg7x6vckORXPCZclCtT9",0.333,0.364,8,-6.883,1,0.0361,0.631,0,0.105,0.19,135.958,253708,4
"그때부터","HAEBIN","75snaIFyypYo0pnDpDTHzk",0.42,0.47,5,-8.552,0,0.0309,0.868,0.0508,0.112,0.0727,122.499,229050,4
"Cloud","Rothy","2WdgZcToOXFt3ZKlT5PW6P",0.619,0.719,6,-4.083,1,0.0749,0.396,0,0.0975,0.701,87.482,183787,4
"Magic Dream","APRIL","7Du60pJN6jXtjBiEaPMIuv",0.696,0.823,10,-4.809,1,0.0543,0.0634,0,0.0543,0.776,140.065,204987,4
"Everytime In My Heart","Maytree","7y8d3eBI0vTEMdXuW7Joh5",0.716,0.342,5,-6.008,1,0.0327,0.646,0,0.0939,0.489,139.118,190308,4
"IWST (feat. Hoody) (Prod. Primary)","Junggigo","7jLusgqUbcOKTQfCzLR9S3",0.776,0.516,6,-3.915,1,0.0573,0.309,0,0.266,0.765,99.029,248759,4
"光圈 feat. 香香","P!SCO","7Kusgkcbvmn11YsxELGZ6w",0.359,0.748,9,-10.491,1,0.0495,0.0233,0.025,0.0849,0.71,129.734,245000,4
"明年","青虫 aoi","150iv2pyz5sRkABnk6gIGL",0.743,0.423,1,-9.204,1,0.0492,0.205,4.53e-05,0.069,0.359,137.974,218000,4
"謎樣女子","宋楚琳","3HilDWHnQgjZZRUDMZeWfq",0.779,0.513,5,-7.569,0,0.191,0.283,0,0.107,0.579,145.941,228801,4
"Family","恰好乐队","0HMbYiDAHTgp2juXFpfyTF",0.722,0.664,2,-7.025,0,0.0333,0.024,2.17e-06,0.147,0.477,120.013,269375,4
"Breeze (feat. GREE)","Punch","0oj1C53emapMwN0GLNKO5y",0.501,0.636,11,-6.352,1,0.0718,0.22,0,0.139,0.118,153.689,232150,4
"Take My Hand","Kassy","6YBfa6iDpybEPDcQsPi9D2",0.672,0.233,7,-9.293,1,0.0393,0.944,0,0.146,0.297,83.971,220996,4
"It’s You","CHUNG HA","1Du9g7ILOs5tgoEAPTxJM1",0.587,0.709,7,-4.941,1,0.0365,0.636,0,0.208,0.251,107.941,202905,4
"I Luv U Luv","Yu Seung Woo","1q92VK8LAZqAW6EtficqFq",0.671,0.769,9,-3.262,1,0.0686,0.43,0,0.227,0.604,104.011,191533,4
